date,open,high,low,close,volume,dividend,ratio
2019-08-19,0.050641,0.050711,0.049553,0.050166,73281882.0,0.0,1
2019-08-20,0.050074,0.050153,0.048694,0.049194,70679277.0,0.0,1
2019-08-21,0.049149,0.049149,0.046149,0.047199,73209643.0,0.0,1
2019-08-22,0.04731,0.051051,0.046946,0.049393,73146838.0,0.0,1
2019-08-23,0.04929,0.05017,0.048965,0.049664,66000517.0,0.0,1
2019-08-24,0.049644,0.051293,0.048261,0.050195,65858786.0,0.0,1
2019-08-25,0.05013,0.052666,0.04878,0.049528,113160413.0,0.0,1
2019-08-26,0.049607,0.050764,0.048844,0.049726,109603137.0,0.0,1
2019-08-27,0.049688,0.049962,0.048272,0.049962,69969495.0,0.0,1
2019-08-28,0.049985,0.050379,0.045641,0.045993,92932943.0,0.0,1
2019-08-29,0.045968,0.045968,0.043402,0.044634,105114069.0,0.0,1
2019-08-30,0.044603,0.045764,0.044238,0.044735,71072085.0,0.0,1
2019-08-31,0.044769,0.045444,0.043926,0.044856,99011267.0,0.0,1
2019-09-01,0.044826,0.045193,0.043756,0.044431,54816649.0,0.0,1
2019-09-02,0.04435,0.046018,0.043398,0.045251,51412125.0,0.0,1
2019-09-03,0.045276,0.047162,0.044652,0.046567,66851581.0,0.0,1
2019-09-04,0.046519,0.046519,0.045099,0.045397,68089153.0,0.0,1
2019-09-05,0.045398,0.045411,0.043861,0.04438,58859832.0,0.0,1
2019-09-06,0.044397,0.044579,0.043596,0.044328,56714028.0,0.0,1
2019-09-07,0.044302,0.046433,0.043757,0.045979,55879478.0,0.0,1
2019-09-08,0.045996,0.047446,0.045996,0.046544,63693785.0,0.0,1
2019-09-09,0.046554,0.046984,0.045416,0.046858,68063046.0,0.0,1
2019-09-10,0.04683,0.048045,0.045826,0.046487,73448923.0,0.0,1
2019-09-11,0.046486,0.046589,0.044498,0.044817,60913966.0,0.0,1
2019-09-12,0.04489,0.046254,0.044316,0.045359,62168182.0,0.0,1
2019-09-13,0.045368,0.045775,0.044909,0.04573,57775992.0,0.0,1
2019-09-14,0.045731,0.046992,0.044877,0.046463,68309234.0,0.0,1
2019-09-15,0.046442,0.046939,0.046134,0.046641,77002008.0,0.0,1
2019-09-16,0.046589,0.04748,0.045825,0.047033,69728271.0,0.0,1
2019-09-17,0.047024,0.050493,0.046968,0.049069,90862567.0,0.0,1
2019-09-18,0.048901,0.055168,0.048901,0.052934,157848761.0,0.0,1
2019-09-19,0.053078,0.054368,0.049665,0.052389,193002070.0,0.0,1
2019-09-20,0.05235,0.05235,0.050497,0.052311,131918339.0,0.0,1
2019-09-21,0.052287,0.053222,0.051229,0.051792,114777975.0,0.0,1
2019-09-22,0.051797,0.051797,0.047775,0.048948,101876256.0,0.0,1
2019-09-23,0.048875,0.049314,0.046279,0.046317,92160587.0,0.0,1
